指標,初始排程 (Initial),最佳排程 (Best),改善率 (%)
總成本 (Cost),6716.25,858.75,87.21%
總手術時間 (分鐘),10620,10620,N/A
總使用時間 (分鐘),13275,13275,0.00%
總加班時間 (分鐘),1755,360,79.49%
總超時時間 (分鐘),870,60,93.10%

最佳排程後各手術房詳細情況
手術房,總使用時間 (分),加班時間 (分),超時時間 (分)
A1,540,0,0
A10,525,0,0
A11,540,0,0
A12,555,15,0
A2,525,0,0
A3,555,15,0
A5,555,15,0
A6,555,15,0
A7,555,15,0
A8,555,15,0
A9,540,0,0
B1,555,15,0
B10,555,15,0
B11,555,15,0
B12,540,0,0
B2,540,0,0
B3,555,15,0
B4,540,0,0
B5,540,0,0
B6,525,0,0
B7,555,15,0
B8,555,15,0
C2,720,180,60
C3,540,0,0
